feature_set,model,fpr,tpr,auc,n
DSP,Logistic,0.007272727272727273,0.06582506762849413,0.6278711369784409,6911
DSP,Logistic,0.007676767676767677,0.06582506762849413,0.6278711369784409,6911
DSP,Logistic,0.007676767676767677,0.07348963029756538,0.6278711369784409,6911
DSP,Logistic,0.00808080808080808,0.07348963029756538,0.6278711369784409,6911
DSP,Logistic,0.00808080808080808,0.07551848512173129,0.6278711369784409,6911
DSP,Logistic,0.008484848484848486,0.07551848512173129,0.6278711369784409,6911
DSP,Logistic,0.008484848484848486,0.0811541929666366,0.6278711369784409,6911
DSP,Logistic,0.008888888888888889,0.0811541929666366,0.6278711369784409,6911
DSP,Logistic,0.008888888888888889,0.08340847610459874,0.6278711369784409,6911
DSP,Logistic,0.009292929292929294,0.08340847610459874,0.6278711369784409,6911
DSP,Logistic,0.009292929292929294,0.08363390441839495,0.6278711369784409,6911
DSP,Logistic,0.009696969696969697,0.08363390441839495,0.6278711369784409,6911
DSP,Logistic,0.009696969696969697,0.09107303877366997,0.6278711369784409,6911
DSP,Logistic,0.010101010101010102,0.09107303877366997,0.6278711369784409,6911
DSP,Logistic,0.010101010101010102,0.09152389540126239,0.6278711369784409,6911
DSP,Logistic,0.010505050505050505,0.09152389540126239,0.6278711369784409,6911
DSP,Logistic,0.010505050505050505,0.09535617673579802,0.6278711369784409,6911
DSP,Logistic,0.01090909090909091,0.09535617673579802,0.6278711369784409,6911
DSP,Logistic,0.01090909090909091,0.09648331830477908,0.6278711369784409,6911
DSP,Logistic,0.011313131313131313,0.09648331830477908,0.6278711369784409,6911
DSP,Logistic,0.011313131313131313,0.10099188458070334,0.6278711369784409,6911
DSP,Logistic,0.011717171717171718,0.10099188458070334,0.6278711369784409,6911
DSP,Logistic,0.011717171717171718,0.10504959422903516,0.6278711369784409,6911
DSP,Logistic,0.012121212121212121,0.10504959422903516,0.6278711369784409,6911
DSP,Logistic,0.012121212121212121,0.12533814247069433,0.6278711369784409,6911
DSP,Logistic,0.012525252525252526,0.12533814247069433,0.6278711369784409,6911
DSP,Logistic,0.012525252525252526,0.1269161406672678,0.6278711369784409,6911
DSP,Logistic,0.01292929292929293,0.1269161406672678,0.6278711369784409,6911
